Run,Fitness,Blocks
25,0.021593604,16448 16448 32831 32831 32831 16448 32831 32831 32831 32831 16448 32831 32831 32831 32831 16448 32831 32831 32831 32831 16448 16448 32831 32831 32831
26,2.560247898,0 0 0 0 0 0 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
26,2.245943069,64 64 64 64 64 64 64 32832 32832 64 64 64 32832 32832 64 64 64 32832 32832 64 64 64 64 64 64
26,2.191772223,16448 16448 16448 16448 16448 0 16448 16448 16448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26,0.756692767,0 0 64 64 64 0 16448 16448 16448 64 0 16448 16448 16448 64 0 64 16448 16448 64 0 0 64 64 64
26,0.024155915,0 32832 32832 64 0 32832 32832 32831 32831 32831 32832 32832 32831 32831 32831 32832 32832 32831 32831 32831 0 32832 32831 32831 0
26,0.01259803,16448 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64 64
27,2.698581457,64 16448 16448 16448 16448 64 16448 16448 16448 16448 64 16448 16448 16448 16448 64 16448 16448 16448 16448 64 16448 16448 16448 16448
27,2.492905855,0 0 16448 16448 16448 0 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448
27,2.191951752,0 0 0 0 0 0 0 0 0 0 0 0 16448 16448 16448 0 0 0 16448 16448 0 0 0 16448 16448
27,1.417906642,0 0 0 0 16448 64 0 0 0 16448 64 0 0 0 16448 64 64 0 64 16448 64 64 64 64 16448
27,0.599229395,32832 16448 16448 16448 0 32832 16448 16448 16448 16448 32832 16448 16448 16448 16448 32832 16448 16448 16448 16448 32832 16448 16448 16448 16448
27,3.55E-15,0 0 0 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 0 0 0 0 0 0 0 0
28,2.655523539,16448 16448 16448 16448 64 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 64
28,2.541935444,32832 32832 16448 16448 16448 32832 32832 16448 16448 16448 32832 32832 16448 16448 16448 32832 32832 16448 16448 16448 32832 32832 16448 16448 16448
28,2.192443371,0 0 0 0 0 0 0 0 16448 0 0 0 16448 16448 16448 0 0 0 0 0 0 0 0 0 0
28,2.102122068,0 0 0 0 0 0 0 0 0 0 0 16448 16448 16448 0 0 0 16448 16448 0 0 0 0 0 0
28,1.345122576,64 64 32832 64 64 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832 32832
28,-0.042224146,32832 32832 32831 32831 32831 32832 32832 32831 32831 32831 0 32831 32831 32831 32831 0 0 32831 32831 0 0 0 0 0 0
29,2.809210062,16448 16448 16448 16448 16448 0 16448 16448 16448 16448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29,2.601847649,0 0 32832 32832 32832 0 64 32832 32832 32832 64 64 32832 32832 32832 64 64 32832 32832 32832 64 64 32832 32832 32832
29,2.527442455,64 64 16448 16448 16448 64 64 16448 16448 16448 0 16448 16448 16448 16448 64 64 16448 16448 16448 64 64 16448 16448 16448
29,1.306701303,0 64 64 64 64 0 32832 32832 32832 64 0 32832 32832 32832 64 0 32832 32832 32832 64 0 64 64 64 64
29,0.043990653,32831 64 64 64 64 16448 64 64 64 64 16448 16448 16448 64 64 16448 64 64 64 64 16448 64 64 64 64
